symbol,section,sub.section,group,category,date,value
VNET,Financials,Financials,1,Revenue CNY Mil,2008-12-01,NA
VNET,Financials,Financials,1,Revenue CNY Mil,2009-12-01,314
VNET,Financials,Financials,1,Revenue CNY Mil,2010-12-01,525
VNET,Financials,Financials,1,Revenue CNY Mil,2011-12-01,1021
VNET,Financials,Financials,1,Revenue CNY Mil,2012-12-01,1524
VNET,Financials,Financials,1,Revenue CNY Mil,2013-12-01,1967
VNET,Financials,Financials,1,Revenue CNY Mil,2014-12-01,2876
VNET,Financials,Financials,1,Revenue CNY Mil,2015-12-01,3634
VNET,Financials,Financials,1,Revenue CNY Mil,2016-12-01,3642
VNET,Financials,Financials,1,Revenue CNY Mil,2017-12-01,3393
VNET,Financials,Financials,2,Gross Margin %,2008-12-01,NA
VNET,Financials,Financials,2,Gross Margin %,2009-12-01,26.9
VNET,Financials,Financials,2,Gross Margin %,2010-12-01,24.4
VNET,Financials,Financials,2,Gross Margin %,2011-12-01,27.1
VNET,Financials,Financials,2,Gross Margin %,2012-12-01,27.9
VNET,Financials,Financials,2,Gross Margin %,2013-12-01,26.3
VNET,Financials,Financials,2,Gross Margin %,2014-12-01,28.2
VNET,Financials,Financials,2,Gross Margin %,2015-12-01,23.5
VNET,Financials,Financials,2,Gross Margin %,2016-12-01,19.6
VNET,Financials,Financials,2,Gross Margin %,2017-12-01,22.4
VNET,Financials,Financials,3,Operating Income CNY Mil,2008-12-01,NA
VNET,Financials,Financials,3,Operating Income CNY Mil,2009-12-01,27
VNET,Financials,Financials,3,Operating Income CNY Mil,2010-12-01,-225
VNET,Financials,Financials,3,Operating Income CNY Mil,2011-12-01,78
VNET,Financials,Financials,3,Operating Income CNY Mil,2012-12-01,98
VNET,Financials,Financials,3,Operating Income CNY Mil,2013-12-01,98
VNET,Financials,Financials,3,Operating Income CNY Mil,2014-12-01,-92
VNET,Financials,Financials,3,Operating Income CNY Mil,2015-12-01,-241
VNET,Financials,Financials,3,Operating Income CNY Mil,2016-12-01,-541
VNET,Financials,Financials,3,Operating Income CNY Mil,2017-12-01,-199
VNET,Financials,Financials,4,Operating Margin %,2008-12-01,NA
VNET,Financials,Financials,4,Operating Margin %,2009-12-01,8.7
VNET,Financials,Financials,4,Operating Margin %,2010-12-01,-42.9
VNET,Financials,Financials,4,Operating Margin %,2011-12-01,7.6
VNET,Financials,Financials,4,Operating Margin %,2012-12-01,6.5
VNET,Financials,Financials,4,Operating Margin %,2013-12-01,5
VNET,Financials,Financials,4,Operating Margin %,2014-12-01,-3.2
VNET,Financials,Financials,4,Operating Margin %,2015-12-01,-6.6
VNET,Financials,Financials,4,Operating Margin %,2016-12-01,-14.8
VNET,Financials,Financials,4,Operating Margin %,2017-12-01,-5.9
VNET,Financials,Financials,5,Net Income CNY Mil,2008-12-01,NA
VNET,Financials,Financials,5,Net Income CNY Mil,2009-12-01,-6
VNET,Financials,Financials,5,Net Income CNY Mil,2010-12-01,-255
VNET,Financials,Financials,5,Net Income CNY Mil,2011-12-01,18
VNET,Financials,Financials,5,Net Income CNY Mil,2012-12-01,56
VNET,Financials,Financials,5,Net Income CNY Mil,2013-12-01,-48
VNET,Financials,Financials,5,Net Income CNY Mil,2014-12-01,-348
VNET,Financials,Financials,5,Net Income CNY Mil,2015-12-01,-401
VNET,Financials,Financials,5,Net Income CNY Mil,2016-12-01,-932
VNET,Financials,Financials,5,Net Income CNY Mil,2017-12-01,-918
VNET,Financials,Financials,6,Earnings Per Share CNY,2008-12-01,NA
VNET,Financials,Financials,6,Earnings Per Share CNY,2009-12-01,-0.48
VNET,Financials,Financials,6,Earnings Per Share CNY,2010-12-01,-21.42
VNET,Financials,Financials,6,Earnings Per Share CNY,2011-12-01,0.36
VNET,Financials,Financials,6,Earnings Per Share CNY,2012-12-01,0.96
VNET,Financials,Financials,6,Earnings Per Share CNY,2013-12-01,-0.78
VNET,Financials,Financials,6,Earnings Per Share CNY,2014-12-01,-5.34
VNET,Financials,Financials,6,Earnings Per Share CNY,2015-12-01,-5.1
VNET,Financials,Financials,6,Earnings Per Share CNY,2016-12-01,-8.22
VNET,Financials,Financials,6,Earnings Per Share CNY,2017-12-01,-8.16
VNET,Financials,Financials,7,Dividends CNY,2008-12-01,NA
VNET,Financials,Financials,7,Dividends CNY,2009-12-01,NA
VNET,Financials,Financials,7,Dividends CNY,2010-12-01,NA
VNET,Financials,Financials,7,Dividends CNY,2011-12-01,NA
VNET,Financials,Financials,7,Dividends CNY,2012-12-01,NA
VNET,Financials,Financials,7,Dividends CNY,2013-12-01,NA
VNET,Financials,Financials,7,Dividends CNY,2014-12-01,NA
VNET,Financials,Financials,7,Dividends CNY,2015-12-01,NA
VNET,Financials,Financials,7,Dividends CNY,2016-12-01,NA
VNET,Financials,Financials,7,Dividends CNY,2017-12-01,NA
VNET,Financials,Financials,8,Payout Ratio % *,2008-12-01,NA
VNET,Financials,Financials,8,Payout Ratio % *,2009-12-01,NA
